Date,,Eden,Richmondshire,Ryedale,Scarborough,SouthLakeland,Craven,,,
2019-04-01,Apr2019,229074,225287,240185,182970,297095,251175,,,
2020-04-01,Apr2020,218226,223927,307910,155367,322638,249810,,,
2021-04-01,Apr2021,246145,262802,270947,200202,307491,267963,,,
2019-08-01,Aug2019,214573,254150,258629,182224,275582,272632,,,
2020-08-01,Aug2020,250761,259419,291057,206833,287046,267269,,,
2021-08-01,Aug2021,208271,292658,307044,183303,290245,280199,,,
2019-12-01,Dec2019,222666,215141,227356,171976,266465,249007,,,
2020-12-01,Dec2020,264573,296742,294027,207363,302877,254906,,,
2019-02-01,Feb2019,222428,211822,285837,169622,251653,250091,,,
2020-02-01,Feb2020,216829,224772,227160,187227,248856,248555,,,
2021-02-01,Feb2021,254236,269188,310285,202473,338474,265566,,,
2019-01-01,Jan2019,188770,269124,223372,180115,252988,280310,,,
2020-01-01,Jan2020,244445,246850,291076,181153,302415,238137,,,
2021-01-01,Jan2021,266981,280163,302045,225865,288241,255255,,,
2019-07-01,Jul2019,264350,242809,273788,178236,291763,244606,,,
2020-07-01,Jul2020,230032,205749,252611,190884,292824,215925,,,
2021-07-01,Jul2021,200219,286115,267350,173955,228240,284806,,,
2019-06-01,Jun2019,229324,260329,259549,172558,279718,268848,,,
2020-06-01,Jun2020,243338,265564,271007,176543,252383,267621,,,
2021-06-01,Jun2021,292325,349197,355392,226381,354592,276687,,,
2019-03-01,Mar2019,235720,204887,248015,175477,257277,282602,,,
2020-03-01,Mar2020,225518,252513,265408,196729,291766,302998,,,
2021-03-01,Mar2021,270948,265357,325822,209898,319379,265097,,,
2019-05-01,May2019,230082,249456,227032,175600,300560,290690,,,
2020-05-01,May2020,223991,210150,273059,164861,282370,231120,,,
2021-05-01,May2021,259071,291624,227119,189364,300979,259777,,,
2019-11-01,Nov2019,232843,227243,249630,181843,290881,282053,,,
2020-11-01,Nov2020,250714,274219,340325,209192,300475,276617,,,
2019-10-01,Oct2019,236789,241233,272513,176305,271274,258998,,,
2020-10-01,Oct2020,248662,265593,277910,202777,307827,320531,,,#
2021-10-01,Oct2021,,,850000,171375,122500,241633,,,
2019-09-01,Sep2019,242926,230758,277925,172412,306220,216709,,,
2020-09-01,Sep2020,226831,272217,281546,199002,300048,280456,,,
2021-09-01,Sep2021,301385,252499,232875,212512,256720,222500,,,
