Date,CompletePathways,Year,Month
01jan2019,1452303,2019,Jan
01feb2019,1292675,2019,Feb
01mar2019,1387573,2019,Mar
01apr2019,1312763,2019,Apr
01may2019,1382654,2019,May
01jun2019,1338015,2019,Jun
01jul2019,1478298,2019,Jul
01aug2019,1274421,2019,Aug
01sep2019,1367364,2019,Sep
01oct2019,1517946,2019,Oct
01nov2019,1427253,2019,Nov
01dec2019,1212121,2019,Dec
01jan2020,1458173,2020,Jan
01feb2020,1329075,2020,Feb
01mar2020,1179632,2020,Mar
01apr2020,563986,2020,Apr
01may2020,557572,2020,May
01jun2020,753142,2020,Jun
01jul2020,852298,2020,Jul
01aug2020,807444,2020,Aug
01sep2020,1041571,2020,Sep
01oct2020,1119906,2020,Oct
01nov2020,1144229,2020,Nov
01dec2020,1014127,2020,Dec
01jan2021,936833,2021,Jan
01feb2021,947076,2021,Feb
01mar2021,1201415,2021,Mar
01apr2021,1125241,2021,Apr
01may2021,1161881,2021,May
01jun2021,1298646,2021,Jun
01jul2021,1215586,2021,Jul
01aug2021,1257116,2021,Aug
